pred_moe_motor,pred_moe_total,residual_motor,residual_total
-0.938441,-0.9885822,0.018478629816270686,0.024125536639677314
0.35184887,0.2201421,0.014581602452209186,0.02111503902664591
1.6988447,1.3148409,0.03744872573517477,0.029806223891176264
1.0324539,1.8668116,0.0629651002333671,0.019604261645266297
0.45009333,0.42616755,-0.06166487879473309,-0.023678545702864373
0.8286142,0.3190718,0.162558849845034,-0.04859254797880097
0.62498415,0.44528088,0.03793017593130654,0.056192242954775984
-0.08613958,0.14794587,0.0415745145652867,0.12318276590981597
-0.1417674,-0.073499165,0.007132834495974266,-0.03590909397908475
0.805074,0.82569104,0.15371313778489148,0.13869750689534566
-1.0463839,-1.2988471,0.002988414783341664,-0.01544005509032953
0.40300372,-0.00983057,-0.13409761500368161,-0.11720372796709563
0.7701501,0.32002705,0.1445188239104761,-0.04954780181829377
-1.1748077,-1.1133238,0.023011081635468278,-0.010138269236780184
1.6101872,1.4566195,0.29695718027070517,0.29537465898259674
0.2512752,-0.07804358,0.07531448048456468,0.040067160274555036
0.2933325,-0.023510732,-0.09921950236522833,-0.28423684357117335
1.5311067,1.238869,0.013682074013009027,0.03443911386178122
0.84094906,0.330561,0.013836508053843843,3.230718174096481e-05
0.039353017,0.1326387,-0.20380705998179863,-0.13731117699640785
0.105322674,-0.061364505,0.08060217510863238,-0.024851598276219022
-0.8535865,-0.2686318,0.0577905063510844,0.13334108084969068
-0.54330903,-0.2688528,0.043874681488844214,0.03550566041124947
-1.4224358,-1.4204926,0.02607055244196843,0.050266035070372306
0.26561219,0.00766341,-0.010271496842960803,-0.006027627936737425
0.21107596,0.42141762,0.046831157240768806,0.0793133499487827
0.85339963,1.7527815,0.04122671313611237,0.013870092169966153
1.2637686,1.0749117,0.06482899932896613,0.09143412979435617
0.15974414,0.1420572,0.06088862510590784,0.1284220562320526
-0.5797276,-0.19332954,0.02945346915006486,0.022786760894842384
1.7716113,1.3930988,0.04081950736555218,0.042739861896076814
1.0742017,1.0443058,0.25500690491314204,0.24069111075973648
-0.2869229,-0.27742925,-0.017707140443259328,-0.03170985180922453
0.39668915,0.47614345,0.07643151558252137,0.1778412892804656
-1.3034513,-1.5503634,0.024433078821617604,0.008978698083935033
0.8168606,0.3079148,0.17431240895758282,-0.03743554195348664
0.51605344,1.4066228,-0.16966556665841254,0.08255788382235574
-1.7931614,-1.8478152,-0.08417736600559378,-0.10484070351053187
0.019075109,-0.2961514,-0.17546322694024782,-0.1677257681452486
0.4236816,0.3182134,0.10125653273977264,-0.0724106053925527
-1.5325097,-1.1876208,0.013102457423738834,-0.10198992165156828
0.6494631,1.6434427,-0.07344080592744728,-0.038023014146284284
-1.1026798,-1.3030329,-0.06928154984999924,-0.06005055497958445
0.6200916,0.14945482,0.04306712595718287,0.05886945698353507
-0.86048776,-0.90644586,0.03059490589722158,0.02483158394792273
0.29683778,0.37018546,-0.10248036995104637,-0.018626436621834774
-0.4748846,-0.2563107,0.09924997520514955,0.0905918877833451
0.2706996,0.033246137,-0.07059826722998938,-0.13087278154121473
-0.36402062,-0.118435845,-0.03104555494383865,-0.062033179857398535
-0.12559249,-0.23299865,0.02701016243803779,-0.0007195599650759721
0.5538099,1.0653703,0.11680373190197779,0.06683666887402584
-0.35532743,-0.021533003,-0.1344522562742082,-0.11839613332906287
-0.06259428,-0.36115935,0.10846534056250487,0.012779122267065957
0.943968,0.6709456,-0.048975017577254976,-0.08607347004859256
-0.86405355,-0.90675294,0.06471344026351966,0.04833082281604306
-0.23856704,-0.26849845,0.05064848714997175,-0.005203040186473329
1.8746732,1.4544119,0.11581899717638566,0.08950227453232062
1.2857152,2.1140096,0.21544424066138523,0.15739606125090067
-0.29856563,-0.15758806,0.1741967858061348,0.11719966069310428
-1.7811677,-1.8862962,-0.10512907778301317,-0.1624401692173305
-1.2516202,-1.4595604,-0.027398047391456126,-0.0818243290690801
-0.22092873,-0.38742155,0.029343846828239067,-0.048532263882290594
0.7067929,1.6916366,-0.019558584036331594,-0.029906272384144117
1.6231211,1.4465913,0.13541465375597617,0.11021771935447044
-0.50947183,-0.29679552,-0.09176426771833035,-0.0731998041230979
-0.34456554,-0.21864322,0.088942102980057,0.03585497806864815
-1.2527419,-1.1342808,-0.04143045004102186,-0.043265383315322925
1.8041531,2.3258202,0.051540443977693196,0.03714810326879192
1.2065735,1.1957023,-0.001531238482633368,0.023985487215630208
-0.036234833,0.11966543,-0.05477040829995812,-0.050030246151345895
0.5716009,0.1587238,-0.09456950016136895,-0.08834646954607167
-0.9912037,-1.0711857,-0.02640519989964374,-0.041515208644648194
-0.42049715,-0.2645355,0.008443651639020944,-0.021411462235766676
0.55940366,1.3923929,-0.19077338722617304,0.10810554950700291
